City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,73.62,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2,Torbay,CA,68.88,few clouds,47.6666,-52.7314,Gallows Cove
3,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
5,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Yenagoa,NG,73.72,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
8,Rikitea,PF,72.36,scattered clouds,-23.1203,-134.9692,People ThankYou
9,Ponta Do Sol,PT,76.71,scattered clouds,32.6667,-17.1,Hotel do Campo
15,Umm Lajj,SA,83.46,clear sky,25.0213,37.2685,Moon light Furnished Units
17,Albany,US,73.24,overcast clouds,42.6001,-73.9662,
18,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Bethel,US,70.03,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
21,Kawalu,ID,72.9,overcast clouds,-7.3817,108.2082,West Jontor
22,Hobyo,SO,79.11,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
24,Yabassi,CM,75.25,moderate rain,4.457,9.9682,MOTEL FOMI
28,Dingle,PH,78.28,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
31,Viradouro,BR,86.88,clear sky,-20.8731,-48.2969,Motel Diamond
34,Butaritari,KI,82.09,light rain,3.0707,172.7902,Isles Sunset Lodge
37,Igbaras,PH,78.42,broken clouds,10.7157,122.2657,Mickey's Place
38,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
39,Tanhacu,BR,82.6,clear sky,-14.0214,-41.2481,Balneário Jurema
42,Lata,PT,74.07,overcast clouds,40.1629,-8.3327,Casa Maquia
43,Charters Towers,AU,60.8,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
44,Nguruka,TZ,73.98,few clouds,-5.1092,31.0419,RUSULI LODGE
45,Saint-Pierre,RE,72.91,clear sky,-21.3393,55.4781,Alize Plage
46,Cidreira,BR,67.64,scattered clouds,-30.1811,-50.2056,Hotel Castelo
47,Katsuura,JP,71.04,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
48,Labuhan,ID,79.41,scattered clouds,-6.8844,112.2051,DoubleFAG
49,Nikolskoye,RU,64.29,broken clouds,59.7035,30.7861,Tourist House - Sablino
50,Itarema,BR,85.3,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
51,Izumo,JP,66.15,overcast clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
52,Junagadh,IN,84.58,overcast clouds,21.5167,70.4667,Click Hotel Junagadh
54,Prado,BR,76.55,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
55,Arraial Do Cabo,BR,75.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
56,Hasaki,JP,70.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
57,Carnarvon,AU,71.55,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
61,Tiznit,MA,76.15,clear sky,29.5833,-9.5,
63,Cadillac,US,82.08,clear sky,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
64,Kapaa,US,73.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
67,Emirdag,TR,62.76,moderate rain,39.0197,31.15,Emirdağ Öğretmenevi
68,Chuy,UY,63.41,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
71,Cairns,AU,73.35,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
72,Montepuez,MZ,73.38,broken clouds,-13.1256,38.9997,PembaAparthotel
73,Betare Oya,CM,69.15,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
74,Raisen,IN,81.5,overcast clouds,23.3333,77.8,Hotel Amogh
75,Puerto Escondido,MX,82.99,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
76,Castanos,MX,88.34,clear sky,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
80,Shenavan,AM,81.18,broken clouds,40.0549,43.9288,Ծիրանի այգիներ
81,Huarmey,PE,68.11,few clouds,-10.0681,-78.1522,Hotel Miramar
84,Palasa,IN,82.06,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
85,Castro,BR,72.07,clear sky,-24.7911,-50.0119,CHACARA BAILLY
91,Valvedditturai,LK,79.29,overcast clouds,9.8167,80.1667,Kanahathy Vadali
92,Ambilobe,MG,72.01,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
93,Vila Franca Do Campo,PT,66.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
96,Botwood,CA,80.46,clear sky,49.1499,-55.3482,Exploits Inn & Suites
97,Imperia,IT,84.0,few clouds,43.9667,7.7833,La Stregatta
99,Busselton,AU,65.98,scattered clouds,-33.65,115.3333,Observatory Guest House
101,Altay,CN,62.91,overcast clouds,47.8667,88.1167,Jinqiao Hotel
102,Santa Fe,AR,69.01,broken clouds,-31.6333,-60.7,Conquistador Hotel
104,Geraldton,AU,61.21,few clouds,-28.7667,114.6,Broadwater Mariner Resort
105,Tarrafal,CV,84.99,broken clouds,15.2833,-23.7667,Hotel Ixola
106,Sakaiminato,JP,66.18,few clouds,35.55,133.2333,Italian pasley
108,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
111,Saint George,US,88.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
112,Kongolo,CD,81.79,scattered clouds,-5.3833,27.0,GUEST HOUSE OASIS
113,Isangel,VU,75.81,overcast clouds,-19.55,169.2667,Tanna Lodge
116,Lasa,IT,76.69,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
118,Xiongzhou,CN,70.16,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
119,Sept-Iles,CA,73.4,overcast clouds,50.2001,-66.3821,Comfort Inn
121,Chifeng,CN,71.13,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
124,Sinnamary,GF,82.63,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
125,Faanui,PF,80.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Trat,TH,84.87,overcast clouds,12.5,102.5,สวนหนิง-อัศ
129,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
130,Grand Gaube,MU,74.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
131,Zima,RU,62.92,scattered clouds,53.9202,102.0442,"""Na Uglu"""
132,Nouadhibou,MR,75.18,sand,20.931,-17.0347,El Medina
133,Mogadishu,SO,79.18,light rain,2.0371,45.3438,Hotel Juba
135,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
138,Hohhot,CN,70.09,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
141,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
144,Requena,ES,84.79,scattered clouds,39.4883,-1.1004,Hotel Avenida
145,Abha,SA,82.22,few clouds,18.2164,42.5053,Abha Hotel
146,Porto Empedocle,IT,86.31,scattered clouds,37.2934,13.5264,Hotel dei Pini
147,Jamestown,US,86.05,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
148,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
149,Atuona,PF,78.67,broken clouds,-9.8,-139.0333,Villa Enata
153,Khani,GE,63.97,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
156,Gumdag,TM,83.75,clear sky,39.2061,54.5906,
158,Uravakonda,IN,84.88,overcast clouds,14.95,77.2667,Divya Lodge
159,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
160,Amahai,ID,76.6,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
161,Baruun-Urt,MN,61.79,light rain,46.6806,113.2792,Ахмадын амралт сувилал
162,Champerico,GT,79.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
163,Cam Ranh,VN,84.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
165,Coahuayana,MX,79.38,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
166,Hovd,MN,67.39,broken clouds,48.0056,91.6419,Hotel Khovd
167,Eusebio,BR,86.22,scattered clouds,-3.89,-38.4506,CONDOMINIO GRAN CLASSIC
168,Inhambane,MZ,66.18,few clouds,-23.865,35.3833,Oceano
169,Trapani,IT,88.27,few clouds,37.8333,12.6667,
170,Billings,US,72.28,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
171,Samarinda,ID,72.57,broken clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
172,Talnakh,RU,60.21,light rain,69.4865,88.3972,Talnakh Hotel
177,Salta,AR,61.39,clear sky,-24.7859,-65.4117,Hotel Alejandro I
179,Half Moon Bay,US,71.91,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
183,Hearst,CA,74.82,broken clouds,49.6835,-83.6665,Companion
184,Khatanga,RU,65.64,broken clouds,71.9667,102.5,"""Khatanga"""
185,Togitsu,JP,74.98,overcast clouds,32.8333,129.85,Yasuda Ocean Hotel Togitsu
186,Hirara,JP,81.64,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
188,San Quintin,MX,70.77,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
191,Sao Filipe,CV,75.54,overcast clouds,14.8961,-24.4956,Hotel Xaguate
192,Gamba,GA,74.75,broken clouds,-2.65,10.0,
194,Los Llanos De Aridane,ES,69.55,broken clouds,28.6585,-17.9182,Valle Aridane
195,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
197,Xuzhou,CN,86.74,clear sky,34.1805,117.1571,Thank Inn Chain Hotel Jiangsu xuzhou tongshan district Beijing south road
198,Izhevskoye,RU,60.24,scattered clouds,54.5567,40.8703,
199,Sampit,ID,73.49,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
200,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
201,Tautira,PF,78.3,light rain,-17.7333,-149.15,Pension Oaoa
203,Monterey,US,78.17,clear sky,36.2505,-121.2516,
204,Ranong,TH,79.39,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
206,Padang,ID,76.8,light rain,-0.9492,100.3543,Mercure Padang
207,Cockburn Town,TC,82.04,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
209,Astana,KZ,62.55,clear sky,51.1801,71.446,King Hotel Astana
212,Westport,US,71.33,overcast clouds,41.1415,-73.3579,The Westport Inn
215,Saldanha,ZA,62.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
216,Moberly,US,89.58,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
217,Biala Podlaska,PL,67.89,broken clouds,52.0324,23.1165,Hotel Osjann
218,Nosy Varika,MG,72.18,moderate rain,-20.5833,48.5333,Hotel Volazara
219,Beihai,CN,82.22,overcast clouds,21.4833,109.1,21 Degree Hostel
221,Kualakapuas,ID,73.2,broken clouds,-3.0091,114.3876,Guest House Izonk
223,Banda Aceh,ID,80.17,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
224,Abbeville,FR,80.49,scattered clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
226,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
227,Vanimo,PG,77.77,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
231,Tirano,IT,88.18,broken clouds,46.2154,10.1679,Hotel Corona Tirano
233,Parana,AR,68.56,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
