City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-06-10 21:41:42,-9.8,-139.0333,298.44,71,21,6.4
1,Port Alfred,ZA,2022-06-10 21:41:42,-33.5906,26.891,290.33,66,0,4.3
2,Cape Town,ZA,2022-06-10 21:38:08,-33.9258,18.4232,294.21,40,0,2.24
3,Nanortalik,GL,2022-06-10 21:41:43,60.1432,-45.2371,277.47,83,100,4.45
4,Mankono,CI,2022-06-10 21:41:43,8.0586,-6.1897,295.03,95,100,2.24
5,Lebu,CL,2022-06-10 21:41:44,-37.6167,-73.65,282.91,78,7,4.13
6,Hobart,AU,2022-06-10 21:41:44,-42.8794,147.3294,280.07,92,75,4.63
7,Rikitea,PF,2022-06-10 21:37:18,-23.1203,-134.9692,297.51,63,99,7.57
8,Zemio,CF,2022-06-10 21:36:58,5.0314,25.1361,294.56,78,55,0.51
9,Puerto Ayora,EC,2022-06-10 21:40:37,-0.7393,-90.3518,299.13,92,3,2.24
10,Codrington,AU,2022-06-10 21:41:45,-38.2667,141.9667,284.25,70,100,8.2
11,Saint-Philippe,RE,2022-06-10 21:41:46,-21.3585,55.7679,292.92,81,56,4.67
12,Port Shepstone,ZA,2022-06-10 21:41:46,-30.7414,30.455,290.99,84,8,4.63
13,Conde,BR,2022-06-10 21:41:47,-7.2597,-34.9075,296.85,94,75,4.63
14,Ulaangom,MN,2022-06-10 21:41:47,49.9811,92.0667,283.64,37,6,1.11
15,Novosil,RU,2022-06-10 21:41:48,52.9739,37.0405,290.08,90,100,1.84
16,Hermanus,ZA,2022-06-10 21:37:25,-34.4187,19.2345,291.15,40,63,4.77
17,Bluff,NZ,2022-06-10 21:41:48,-46.6,168.3333,277.48,86,100,5.7
18,Chuy,UY,2022-06-10 21:37:50,-33.6971,-53.4616,280.08,62,26,5.65
19,Kodiak,US,2022-06-10 21:41:49,57.79,-152.4072,288.88,51,75,3.6
20,Mataura,NZ,2022-06-10 21:41:50,-46.1927,168.8643,277.3,99,100,1.19
21,Narsaq,GL,2022-06-10 21:41:50,60.9167,-46.05,288.27,59,100,1.57
22,Tucupita,VE,2022-06-10 21:41:51,9.0622,-62.051,299.42,84,55,1.66
23,Bredasdorp,ZA,2022-06-10 21:41:51,-34.5322,20.0403,288.13,43,71,2.44
24,Barrow,US,2022-06-10 21:37:42,71.2906,-156.7887,274.16,86,100,5.14
25,San Quintin,MX,2022-06-10 21:38:53,30.4833,-115.95,295.95,60,1,3.61
26,Hithadhoo,MV,2022-06-10 21:41:52,-0.6,73.0833,302.06,70,52,4.44
27,Lensk,RU,2022-06-10 21:41:53,60.7253,114.9278,287.95,62,38,1.34
28,Maarianhamina,AX,2022-06-10 21:41:53,60.0973,19.9348,287.07,94,0,4.12
29,Grindavik,IS,2022-06-10 21:39:00,63.8424,-22.4338,288.12,71,0,6.69
30,Albany,US,2022-06-10 21:41:53,42.6001,-73.9662,296.73,45,14,4.78
31,Aykhal,RU,2022-06-10 21:41:54,66.0,111.5,280.56,72,78,5.32
32,Mar Del Plata,AR,2022-06-10 21:37:16,-38.0023,-57.5575,280.98,90,100,6.17
33,Ushuaia,AR,2022-06-10 21:41:55,-54.8,-68.3,280.96,57,20,9.26
34,Wattegama,LK,2022-06-10 21:41:55,6.7989,81.4808,297.69,83,99,3.94
35,Emba,KZ,2022-06-10 21:41:56,48.8264,58.1442,286.86,71,3,2.64
36,Bambous Virieux,MU,2022-06-10 21:41:56,-20.3428,57.7575,295.29,88,75,7.72
37,Bassano,CA,2022-06-10 21:41:57,50.7834,-112.4685,298.72,28,11,3.65
38,Constitucion,CL,2022-06-10 21:41:57,-35.3333,-72.4167,285.18,62,0,3.47
39,Wanning,CN,2022-06-10 21:41:58,18.8003,110.3967,300.57,87,98,4.2
40,Busselton,AU,2022-06-10 21:41:58,-33.65,115.3333,290.88,85,97,7.53
41,Zabol,AF,2022-06-10 21:41:59,32.25,67.25,293.1,13,0,0.25
42,Tiksi,RU,2022-06-10 21:41:59,71.6872,128.8694,277.6,76,23,2.75
43,Severo-Kurilsk,RU,2022-06-10 21:42:00,50.6789,156.125,280.1,91,99,4.5
44,Broken Hill,AU,2022-06-10 21:39:06,-31.95,141.4333,281.87,90,41,4.88
45,Mayo,US,2022-06-10 21:42:00,38.8876,-76.5119,301.45,58,75,5.14
46,Avarua,CK,2022-06-10 21:42:01,-21.2078,-159.775,299.18,61,20,8.23
47,Vaini,TO,2022-06-10 21:42:01,-21.2,-175.2,299.24,78,75,2.57
48,Katsuura,JP,2022-06-10 21:43:02,35.1333,140.3,294.33,81,100,2.53
49,Samarai,PG,2022-06-10 21:43:03,-10.6167,150.6667,299.94,78,99,1.54
50,Faya,SA,2022-06-10 21:43:04,18.3851,42.4509,296.21,14,15,2.13
51,Kempten,DE,2022-06-10 21:42:36,47.7267,10.3139,286.74,95,2,1.58
52,Upernavik,GL,2022-06-10 21:43:05,72.7868,-56.1549,272.88,80,16,4.76
53,Dengzhou,CN,2022-06-10 21:43:06,37.8086,120.7508,292.08,87,89,4.22
54,Champerico,GT,2022-06-10 21:43:07,14.3,-91.9167,305.45,72,100,3.33
55,Kulhudhuffushi,MV,2022-06-10 21:43:07,6.6221,73.07,301.09,77,85,5.74
56,Saint George,US,2022-06-10 21:41:02,37.1041,-113.5841,314.61,10,0,7.72
57,Pisco,PE,2022-06-10 21:43:08,-13.7,-76.2167,292.18,77,1,2.06
58,Jalu,LY,2022-06-10 21:43:09,29.0331,21.5482,299.77,44,10,7.79
59,Boyolangu,ID,2022-06-10 21:43:10,-8.1181,111.8935,297.0,91,73,0.37
60,Touros,BR,2022-06-10 21:38:49,-5.1989,-35.4608,297.89,88,10,4.01
61,Gladstone,AU,2022-06-10 21:43:11,-23.85,151.25,282.47,76,60,1.54
62,Saskylakh,RU,2022-06-10 21:43:11,71.9167,114.0833,279.75,65,0,7.98
63,Chokurdakh,RU,2022-06-10 21:43:12,70.6333,147.9167,284.8,45,65,5.66
64,Arraial Do Cabo,BR,2022-06-10 21:43:13,-22.9661,-42.0278,296.13,88,100,6.17
65,Souillac,MU,2022-06-10 21:43:13,-20.5167,57.5167,295.36,88,75,7.72
66,Goundi,TD,2022-06-10 21:43:14,9.3627,17.366,300.45,53,12,1.9
67,Tautira,PF,2022-06-10 21:43:14,-17.7333,-149.15,299.2,74,28,4.26
68,Ambilobe,MG,2022-06-10 21:43:15,-13.2,49.05,293.72,81,6,1.32
69,Port Elizabeth,ZA,2022-06-10 21:43:15,-33.918,25.5701,288.88,56,0,1.03
70,Salalah,OM,2022-06-10 21:41:58,17.0151,54.0924,303.2,84,75,3.6
71,East London,ZA,2022-06-10 21:43:16,-33.0153,27.9116,289.79,56,0,3.74
72,Bara,NG,2022-06-10 21:43:17,10.3744,10.7288,298.67,76,50,6.07
73,Seydi,TM,2022-06-10 21:43:17,39.4816,62.9137,303.95,16,100,6.88
74,Ulladulla,AU,2022-06-10 21:39:44,-35.35,150.4667,280.87,82,3,2.33
75,Khatanga,RU,2022-06-10 21:43:18,71.9667,102.5,278.25,71,93,3.73
76,Luderitz,NA,2022-06-10 21:43:19,-26.6481,15.1594,292.86,29,85,2.08
77,Leningradskiy,RU,2022-06-10 21:43:19,69.3833,178.4167,278.05,55,95,5.2
78,Vardo,NO,2022-06-10 21:43:20,70.3705,31.1107,279.14,70,20,4.12
79,Ilulissat,GL,2022-06-10 21:43:20,69.2167,-51.1,276.16,75,75,1.54
80,Meulaboh,ID,2022-06-10 21:43:21,4.1363,96.1285,296.72,90,62,2.68
81,Sukhumi,GE,2022-06-10 21:43:22,43.0033,41.0153,292.06,85,53,2.22
